2024-01-08 11:45:19 - Status: True, Topic: 661526019560586
2024-01-08 11:45:19 - Status: False, Topic: 661526019560586
2024-01-08 11:45:20 - Status: True, Topic: 661526019560586
2024-01-08 11:45:21 - Status: False, Topic: 661526019560586
2024-01-08 12:04:44 - Status: True, Topic: 661526019560586
2024-01-08 12:04:45 - Status: False, Topic: 661526019560586
2024-01-08 12:04:46 - Status: True, Topic: 661526019560586
2024-01-08 12:04:47 - Status: False, Topic: 661526019560586
2024-01-08 12:05:14 - Status: True, Topic: 661526019560586
2024-01-08 12:05:16 - Status: False, Topic: 661526019560586
2024-01-08 12:05:18 - Status: True, Topic: 661526019560586
2024-01-08 12:05:19 - Status: False, Topic: 661526019560586
2024-01-08 12:07:33 - Status: True, Topic: 661526019560586
2024-01-08 12:07:33 - Status: False, Topic: 661526019560586
2024-01-08 12:07:33 - Status: True, Topic: 661526019560586
2024-01-08 12:07:33 - Status: False, Topic: 661526019560586
2024-01-08 12:10:08 - Status: True, Topic: 324164884510875
2024-01-08 12:10:08 - Status: False, Topic: 324164884510875
2024-01-08 12:12:32 - Status: True, Topic: 324164884510875
2024-01-08 12:12:33 - Status: False, Topic: 324164884510875
2024-01-08 12:13:30 - Status: True, Topic: 324164884510875
2024-01-08 12:13:31 - Status: False, Topic: 324164884510875
